"Program Address","Load Address","Program Data","Read Address","Read Data","Read Size (In Bits)","Write Address","Write Data","Write Size (In Bits)","Cycles","Stall Cycle Data","Memory/Cache Event","External Event","Target State Data","Trace Status","Stall Event Names","Memory Event Names","Function","Disassembly"
"","","","","","","","","","","","","","","Start of trace","","","UNKNOWN",""
"","","","","","","","","","","","","","","Incomplete frame, Missing start of frame marker, disable circular buffering or assure collection is started before running target.","","","UNKNOWN",""
"0022b174","0022b174","0000b2cf","","","","","","","","","","","","","","","m_ater_process_egress"," ||        MV.S2X        A5,B5"
"0022b176","0022b176","0000f866","","","","","","","000001","","","","","","","","m_ater_process_egress","           SHL.S1        A0,0x16,A0"
"0022b178","0022b178","00008409","","","","","","","","","","","","","","","m_ater_process_egress"," ||        AND.L2        B4,B0,B0"
"0022b17a","0022b17a","0000d402","","","","","","","000001","","","","","","","","m_ater_process_egress","           ADD.L1        A4,-1,A0"
"0022b180","0022b180","00000a5a","","","","","","","","","","","","","","","m_ater_process_egress"," ||        CMPEQ.L2      0,B0,B0"
"0022b184","0022b184","0085ef59","","","","","","","000001","","","","","","","","m_ater_process_egress","           AND.L1        15,A1,A1"
"0022b188","0022b188","000489a0","","","","","","","","","","","","","","","m_ater_process_egress"," ||        SHRU.S1       A1,0x4,A0"
"0022b18c","0022b18c","0001ea58","","","","","","","000001","","","","","","","","m_ater_process_egress","           CMPEQ.L1      15,A0,A0"
"0022b190","0022b190","0000d586","","","","","","","000001","","","","","","","","m_ater_process_egress","           MV.L1X        B11,A6"
"0022b192","0022b192","00001409","","","","","","","000001","","","","","","","","m_ater_process_egress","           .word         0x00003018"
"0022b192","0022b192","00001409","","","","","","","000002","","","","","Pipeline stall","","","m_ater_process_egress","           .word         0x00003018"
"0022b194","0022b194","30188121","","","","","","","000005","","","","","","","","m_ater_process_egress","    [!B0]  BNOP.S1       0x22b1b0,4"
"0022b198","0022b198","2018aa64","","","0020","","","","","","","","","","","","m_ater_process_egress"," || [ B0]  LDW.D1T1      *+A6[A5],A0"
"0022b1a0","0022b1a0","000289a0","","","","","","","000001","","","","","","","","m_ater_process_egress","           SHRU.S1       A0,0x14,A0"
"0022b1b0","0022b1b0","00ac82e6","","","0020","","","","000001","","","","","","","","m_ater_process_egress","           LDW.D2T2      *+B11[4],B1"
"0022b1b4","0022b1b4","00009473","","","","","","","000001","","","","","","","","m_ater_process_egress","           MVK.S2        244,B0"
"0022b1b6","0022b1b6","00002823","","","","","","","000001","","","","","","","","m_ater_process_egress","           LDBU.D1T1     *A6[0],A2"
"0022b1b8","0022b1b8","032c007a","","","","","","","000001","","","","","","","","m_ater_process_egress","           ADD.L2        B0,B11,B6"
"0022b1c0","0022b1c0","00008427","","","","","","","000001","","","","","","","","m_ater_process_egress","           MVK.L2        4,B0"
"0022b1c2","0022b1c2","00002409","","","","","","","000001","","","","","","","","m_ater_process_egress","           MV.D1         A0,A1"
"0022b1c4","0022b1c4","20568121","","","","","","","000005","","","","","","","","m_ater_process_egress","    [ B0]  BNOP.S1       0x22b26c,4"
"0022b1c8","0022b1c8","319802e6","","","0020","","","","","","","","","","","","m_ater_process_egress"," || [!B0]  LDW.D2T2      *+B6[0],B3"
"0022b1cc","0022b1cc","000d3f0a","","","","","","","000001","","","","","","","","m_ater_process_egress","           EXTU.S2       B3,9,31,B0"
"0022b1d0","0022b1d0","32343059","","","","","","","000001","","","","","","","","m_ater_process_egress","    [!B0]  ADD.L1X       1,B13,A4"
"0022b1d4","0022b1d4","20000610","","","","","","","","","","","","","","","m_ater_process_egress"," || [ B0]  B.S1          0x22b1f0"
"0022b1d8","0022b1d8","30100214","","","0008","","","","000001","","","","","","","","m_ater_process_egress","    [!B0]  LDBU.D1T1     *+A4[0],A0"
"0022b1e0","0022b1e0","018c9c0a","","","","","","","000001","","","","","","","","m_ater_process_egress","           EXTU.S2       B3,4,28,B3"
"0022b1e4","0022b1e4","00004c6e","","","","","","","000003","","","","","","","","m_ater_process_egress","           NOP           3"
"0022b1e6","0022b1e6","00008442","","","","","","","000001","","","","","","","","m_ater_process_egress","           CMPEQ.L2X     B3,A0,B0"
"0022b1e8","0022b1e8","00000c6e","","","","","","","000001","","","","","","","","m_ater_process_egress","           NOP           1"
"0022b1ea","0022b1ea","00007469","","","","","","","000001","","","","","","","","m_ater_process_egress","    [!B0]  BNOP.S2       0x22b1f2,5"
"0022b1ec","0022b1ec","00002193","","","","","","","","","","","","","","","m_ater_process_egress"," ||        MVK.S2        1,B3"
"0022b1ee","0022b1ee","0000a27b","","","","","","","000006","","","","","","","","m_ater_process_egress","           MVK.S2        248,B0"
"0022b1f0","0022b1f0","00006407","","","","","","","000001","","","","","","","","m_ater_process_egress","           MV.L2         B8,B3"
"0022b1f2","0022b1f2","00001c73","","","","","","","000001","","","","","","","","m_ater_process_egress","           ADD.L2        B0,B0,B0"
"0022b1f4","0022b1f4","0001298a","","","","","","","000001","","","","","","","","m_ater_process_egress","           SET.S2        B0,9,9,B0"
"0022b1f8","0022b1f8","02ac007a","","","","","","","000001","","","","","","","","m_ater_process_egress","           ADD.L2        B0,B11,B5"
"0022b200","0022b200","0000108d","","","0008","","","","000001","","","","","","","","m_ater_process_egress","           LDW.D2T2      *B5[0],B0"
"0022b202","0022b202","00006c6e","","","","","","","000004","","","","","","","","m_ater_process_egress","           ADD.L2        B0,B0,B0"
"0022b204","0022b204","000179a1","","","","","","","000001","","","","","","","","m_ater_process_egress","           SHRU.S1X      B0,0xb,A0"
"0022b208","0022b208","000129a2","","","","","","","","","","","","","","","m_ater_process_egress"," ||        SHRU.S2       B0,0x9,B0"
"0022b20c","0022b20c","0003edda","","","","","","","000001","","","","","","","","m_ater_process_egress","           NOT.L2        B0,B0"
"0022b210","0022b210","00001f9a","","","","","","","000001","","","","","","","","m_ater_process_egress","           ANDN.L2X      B0,A0,B0"
"0022b214","0022b214","00006409","","","","","","","000001","","","","","","","","m_ater_process_egress","           AND.L2        B3,B0,B0"
"0022b216","0022b216","0000f803","","","","","","","000001","","","","","","","","m_ater_process_egress","           ADD.D1X       A1,B0,A1"
"0022b218","0022b218","30368121","","","","","","","000002","","","","","","","","m_ater_process_egress","    [!B0]  BNOP.S1       0x22b26c,4"
"0022b220","0022b220","20340296","","","0008","","","","","","","","","","","","m_ater_process_egress"," || [ B0]  LDBU.D2T2     *+B13[0],B0"
"0022b218","0022b218","30368121","","","","","","","000009","","","","","Pipeline stall","","","m_ater_process_egress","    [!B0]  BNOP.S1       0x22b26c,4"
"0022b218","0022b218","30368121","","","","","","","000003","","","","","Execution continued","","","m_ater_process_egress","    [!B0]  BNOP.S1       0x22b26c,4"
"0022b224","0022b224","00020f5a","","","","","","","000001","","","","","","","","m_ater_process_egress","           AND.L2        -16,B0,B0"
"0022b26c","0022b26c","019089a3","","","","","","","000001","","","","","","","","m_ater_process_egress","           SHRU.S2       B4,0x4,B3"
"0022b270","0022b270","0000023c","","","0008","","","","","","","","","","","","m_ater_process_egress"," ||        LDBU.D1T1     *A4[0],A3"
"0022b272","0022b272","000082c6","","","","","","","","","","","","","","","m_ater_process_egress"," ||        CMPEQ.L2      5,B3,B0"
"0022b274","0022b274","0000b58e","","","","","","","","","","","","","","","m_ater_process_egress"," ||        MV.S1X        B11,A5"
"0022b276","0022b276","0000a1a7","","","","","","","000001","","","","","","","","m_ater_process_egress","           STW.D2T2      B1,*B4[1]"
"0022b278","0022b278","30158121","","","","","","","000005","","","","","","","","m_ater_process_egress","    [!B0]  BNOP.S1       0x22b28a,4"
"0022b280","0022b280","20148a64","","","0020","","","","","","","","","","","","m_ater_process_egress"," || [ B0]  LDW.D1T1      *+A5[A4],A0"
